,Retailer,Model,Topic,Keywords,Score_CA,Score_CV
0,R1,BERT + GPT,Customer Service & Friendliness,"Vriendelijk,  behulpzaam,  sociaal,  medewerker,  advies,  personeel,  service,  hulp,  informatie,  gedrag","0,08688","0,51913"
1,R1,BERT + GPT,Store Experience,"Winkel,  parkeren,  rommelig,  poortje,  asfalteren,  bouwmarkt,  aanbiedingen,  ervaringen,  aanhangwagen,  voorraad","0,05243","0,63990"
2,R1,BERT + GPT,Assortment,"Assortiment,  aanbieding,  voorraad,  artikel,  personeel,  teleurstelling,  korting,  website,  prijs,  ordening","0,22580","0,36342"
3,R1,BERT + GPT,Home Improvement Products,"Assortiment,  prijzen,  ijzerwaren,  schroeven,  moeren,  maten,  boutjes,  moertjes,  bouwmaterialen,  kwaliteit,  Bauhaus","0,50000","0,25000"
4,R1,BERT + GPT,Customer Service & Friendliness,"Geholpen,  tevreden,  toekomst,  tip,  verkeer,  advies,  blijft,  uitrijden,  hulpvaardigheid,  kwaliteit","0,18615","0,45037"
5,R1,GPT,Customer Service & Friendliness,"Behulpzaam,  vriendelijk,  klantvriendelijk,  deskundig,  beleefdheid,  hulpvaardig,  gezellig,  geduld,  professioneel,  tevreden","0,50000","0,25000"
6,R1,GPT,Assortment,"Voorraad,  assortiment,  product,  winkel,  keuze,  aanbod,  artikelen,  beschikbaarheid,  diversiteit,  uitgebreid","0,14012","0,51263"
7,R1,GPT,Quality and Value Proposition,"Prijs,  aanbieding,  korting,  actie,  prijsniveau,  goedkoop,  promotie,  prijskaartje,  voordeel,  gratis","0,05410","0,52757"
8,R1,GPT,Store Layout,"Overzichtelijk,  indeling,  netjes,  ruim,  assortiment,  opgeruimd,  ordelijk,  inrichting,  presentatie,  showroom","0,09086","0,58452"
9,R1,GPT,Staff Knowledge,"Deskundig,  kennis,  advies,  deskundigheid,  vakkundig,  expertise,  ervaring,  informatief,  professionaliteit,  specialist","0,19849","0,35643"
10,R1,GPT,Product Quality,"Kwaliteit,  tevreden,  ervaring","0,18215","0,43810"
11,R1,GPT,Store Experience,"Winkelervaring,  belevenis,  prettig,  fijn,  sfeervol,  gezellig,  klantvriendelijk,  vlot,  gemak,  bereikbaar","0,02568","0,61681"
12,R1,GPT,Feedback,"Verbeterpunt,  advies,  suggestie,  aanbeveling,  ervaring,  feedback,  verbetering,  idee","0,18205","0,53399"
13,R1,BERT,Customer Service & Friendliness,"Behulpzaam,  vriendelijk,  personeel,  medewerker,  geholpen,  wel,  winkel,  service,  hulp,  advies","0,18687","0,45264"
14,R1,BERT,Assortment,"Assortiment,  artikel,  artikelen,  voorraad,  zoeken,  bepaald artikel,  assortiment overzichtelijk,  groot,  vinden","0,31674","0,56828"
15,R1,BERT,Customer Satisfaction,"Tevreden,  goed,  zeer tevreden,  prima,  ok,  gewoon,  opmerkingen,  overzichtelijk,  aanmerkingen","0,12264","0,45165"
16,R1,BERT,Cashier,"Kassa,  medewerker,  wachten,  open,  moest,  lang,  rij,  balie,  geholpen","0,12453","0,79186"
17,R1,BERT,Paint,"Verfafdeling,  kleur,  mengen,  geholpen,  verf,  afdeling,  muurverf,  geholpen,  peinture","0,50000","0,25000"
18,R1,BERT,Parking,"Parkeren,  parking,  parkeergelegenheid,  parkeerplaats,  ruime parkeerplaatsen,  voldoende parkeer,  bereikbaar","0,17335","0,42024"
19,R2,BERT + GPT,Customer Service & Friendliness,"Klantvriendelijkheid,  servicegerichte houding,  reservering,  medewerker,  verkoopster,  maatpak,  vriendelijk,  ervaringen,  teleurstelling","0,50000","0,25000"
20,R2,BERT + GPT,Purchase Experience,"Bestelling,  ophalen,  communicatie,  status,  reclame,  bezorging,  inkoop,  vertraging,  online","0,19836","0,35418"
21,R2,BERT + GPT,Store Experience,"Winkel,  ontvangst,  aandacht,  welkom,  ondersteuning,  afspraak,  internet,  rommelig,  persoonlijk advies,  druk","0,15963","0,63692"
22,R2,BERT + GPT,Staff,"Medewerker,  betrokkenheid,  ondersteuning,  advies,  personeel,  geholpen,  deskundig,  bekwaam,  opleiding","0,06106","0,58691"
23,R2,BERT + GPT,Assortment,"Overhemden,  mouwlengte,  maten,  truien,  kwaliteit,  overhemden,  dichtbij,  merken,  aanbod,  keuze","0,01674","0,58708"
24,R2,GPT,Customer Service & Friendliness,"Vriendelijk,  behulpzaam,  gastvrij,  klantvriendelijk,  professioneel,  ontvang,  attent,  service,  vriendelijkheid","0,16946","0,41875"
25,R2,GPT,Product Quality,"Assortiment,  kwaliteit,  merk,  collectie,  kleding,  kwaliteit,  diverse,  prijsklassen,  uitgebreid","0,09355","0,76151"
26,R2,GPT,Staff Knowledge,"Deskundig,  advies,  meedenkend,  vakkundig,  maatwerk,  kundig,  vakbekwaam,  verstand,  professional,  aanbeveling","0,50000","0,41287"
27,R2,GPT,Shopping Experience,"Sfeer,  gezellig,  rustig,  winkel,  winkelbeleving,  overzichtelijk,  uitstraling,  inrichting,  prettige sfeer,  winkelervaring","0,19382","0,35451"
28,R2,GPT,Quality and Value Proposition,"Prijs,  prijs-kwaliteit,  aanbieding,  duur,  korting,  acties,  prijsniveau,  goedkoper,  kortingsbon,  waarde","0,50000","0,25000"
29,R2,GPT,Wait Times and Service Speed,"Wachten,  druk,  wachtrij,  personeelstekort,  snel,  geholpen,  efficiëntie,  aanwezig,  overbelast,  service","0,03452","0,77427"
30,R2,GPT,Online Shopping and Ordering,"Online besteld,  webshop,  bezorging,  retour,  internet,  eenvoudig,  bestelling,  systeem,  lever,  ervaring","0,00757","0,56490"
31,R2,BERT,Customer Service & Friendliness,"Geholpen,  kennis,  service,  personeel,  behulpzaam,  vriendelijke,  advies,  medewerker,  klant,  hulp","0,50000","0,42004"
